x,y
481,2308
482,2313
483,2308
484,2314
485,2308
486,2313
487,2304
488,2306
489,2299
490,2302
491,2305
492,2314
493,2312
494,2309
495,2318
496,2309
497,2318
498,2326
499,2324
500,2324
501,2315
502,2310
503,2304
504,2295
505,2298
506,2292
507,2299
508,2301
509,2301
510,2303
511,2295
512,2289
513,2291
514,2289
515,2285
516,2277
517,2285
518,2288
519,2280
520,2285
521,2287
522,2278
523,2273
524,2282
525,2284
526,2276
527,2277
528,2279
529,2285
530,2285
531,2290
532,2295
533,2303
534,2313
535,2313
536,2323
537,2323
538,2322
539,2321
540,2325
541,2318
542,2319
543,2326
544,2327
545,2324
546,2320
547,2326
548,2320
549,2326
550,2326
551,2320
552,2312
553,2321
554,2322
555,2313
556,2317
557,2319
558,2320
559,2313
560,2313
561,2309
562,2307
563,2316
564,2307
565,2310
566,2303
567,2313
568,2312
569,2312
570,2317
571,2319
572,2314
573,2317
574,2316
575,2313
576,2312
577,2317
578,2322
579,2323
580,2323
581,2324
582,2328
583,2320
584,2327
585,2318
586,2309
587,2305
588,2307
589,2312
590,2318
591,2312
592,2315
593,2319
594,2321
595,2324
596,2332
597,2323
598,2332
599,2328
600,2331
601,2327
602,2333
603,2337
604,2331
605,2339
606,2340
607,2336
608,2337
609,2329
610,2337
611,2333
612,2334
613,2341
614,2343
615,2337
616,2330
617,2328
618,2319
619,2312
620,2321
621,2324
622,2331
623,2329
624,2325
625,2331
626,2334
627,2334
628,2331
629,2329
630,2330
631,2327
632,2320
633,2320
634,2324
635,2333
636,2333
637,2326
638,2321
639,2320
640,2321
641,2323
642,2321
643,2319
644,2320
645,2316
646,2321
647,2326
648,2318
649,2322
650,2325
651,2330
652,2339
653,2344
654,2352
655,2357
656,2348
657,2357
658,2356
659,2347
660,2338
661,2339
662,2349
663,2352
664,2360
665,2362
666,2366
667,2364
668,2372
669,2370
670,2368
671,2360
672,2369
673,2369
674,2361
675,2370
676,2369
677,2371
678,2362
679,2366
680,2373
681,2370
682,2376
683,2381
684,2390
685,2384
686,2376
687,2386
688,2395
689,2389
690,2394
691,2402
692,2400
693,2391
694,2382
695,2380
696,2382
697,2388
698,2379
699,2372
700,2370
701,2370
702,2379
703,2378
704,2374
705,2366
706,2371
707,2376
708,2371
709,2379
710,2379
711,2389
712,2390
713,2397
714,2395
715,2400
716,2398
717,2392
718,2402
719,2403
720,2406
721,2405
722,2405
723,2403
724,2404
725,2404
726,2405
727,2410
728,2413
729,2405
730,2414
731,2412
732,2421
733,2419
734,2417
735,2424
736,2427
737,2423
738,2432
739,2434
740,2426
741,2435
742,2436
743,2441
744,2437
745,2440
746,2447
747,2449
748,2459
749,2456
750,2451
751,2456
752,2464
753,2461
754,2458
755,2460
756,2461
757,2469
758,2473
759,2477
760,2473
761,2478
762,2474
763,2483
764,2492
765,2494
766,2489
767,2497
768,2505
769,2511
770,2507
771,2513
772,2514
773,2515
774,2508
775,2502
776,2497
777,2493
778,2501
779,2504
780,2510
781,2515
782,2506
783,2508
784,2518
785,2525
786,2525
787,2518
788,2519
789,2513
790,2506
791,2506
792,2498
793,2493
794,2498
795,2494
796,2497
797,2506
798,2497
799,2503
800,2496
801,2492
802,2485
803,2476
804,2475
805,2473
806,2480
807,2488
808,2491
809,2484
810,2477
811,2487
812,2491
813,2494
814,2498
815,2494
816,2489
817,2487
818,2491
819,2491
820,2500
821,2492
822,2500
823,2505
824,2504
825,2500
826,2492
827,2495
828,2500
829,2493
830,2494
831,2488
832,2492
833,2492
834,2498
835,2495
836,2490
837,2493
838,2503
839,2496
840,2488
841,2489
842,2481
843,2482
844,2483
845,2480
846,2487
847,2492
848,2489
849,2488
850,2493
851,2492
852,2498
853,2506
854,2500
855,2491
856,2493
857,2496
858,2505
859,2512
860,2509
861,2504
862,2504
863,2514
864,2524
865,2515
866,2524
867,2518
868,2520
869,2523
870,2530
871,2525
872,2530
873,2530
874,2527
875,2537
876,2542
877,2550
878,2546
879,2552
880,2547
881,2544
882,2551
883,2552
884,2546
885,2550
886,2548
887,2544
888,2545
889,2542
890,2543
891,2542
892,2543
893,2550
894,2541
895,2540
896,2547
897,2550
898,2555
899,2563
900,2563
901,2569
902,2575
903,2577
904,2568
905,2567
906,2567
907,2576
908,2580
909,2580
910,2575
911,2584
912,2590
913,2581
914,2581
915,2575
916,2570
917,2563
918,2573
919,2564
920,2565
921,2569
922,2575
923,2576
924,2569
925,2562
926,2564
927,2563
928,2565
929,2574
930,2577
931,2578
932,2584
933,2585
934,2589
935,2580
936,2586
937,2585
938,2583
939,2586
940,2580
941,2575
942,2577
943,2587
944,2585
945,2579
946,2582
947,2591
948,2582
949,2589
950,2582
951,2591
952,2583
953,2579
954,2575
955,2566
956,2559
957,2559
958,2557
959,2549
960,2550
961,2556
962,2550
963,2560
964,2559
965,2553
966,2554
967,2559
968,2555
969,2565
970,2567
971,2560
972,2557
973,2565
974,2574
975,2570
976,2566
977,2564
978,2563
979,2554
980,2559
981,2566
982,2562
983,2568
984,2576
985,2570
986,2570
987,2571
988,2575
989,2585
990,2590
991,2581
992,2578
993,2576
994,2573
995,2568
996,2563
997,2564
998,2555
999,2563
1000,2571
